Plants,Pollinators
Eucryphia cordifolia,Trichophthalma barbarossa
Eucryphia cordifolia,Vanessa carye
Eucryphia cordifolia,Vespula germanica
Euphorbia ,Apis mellifera
Euphorbia portulacoides,Scaeva melanostoma
Fragaria,Bombus terrestris
Fuchsia magellanica,Bombus dahlbomii
Fuchsia magellanica,Bombus ruderatus
Fuchsia magellanica,Bombus terrestris
Galega officinalis,Apis mellifera
Gaultheria phillyreifolia,Apis mellifera
Gaultheria phillyreifolia,Bombus dahlbomii
Gaultheria phillyreifolia,Cadeguala albopilosa
Gaultheria phillyreifolia,Corynura patagonica
Gavilea venosa,Centris cineraria
Gavilea venosa,Megachile saulcyi
Geranium ,Bombus terrestris
Gevuina avellana,Allograpta pulchra
Gevuina avellana,Apis mellifera
Gevuina avellana,Cadeguala albopilosa
Gevuina avellana,Cadeguala occipitalis
Gevuina avellana,Corynura chloris
Gevuina avellana,Eristalis tenax
Gevuina avellana,Vespula germanica
Gomortega keule,Allograpta hortensis
Gomortega keule,Syrphus octomaculatus
Gomortega keule,Syrphus reedi
Gomortega keule,Vespula germanica
Haplopappus anthylloides,Bombus dahlbomii
Haplopappus anthylloides,Caenohalictus 
Haplopappus anthylloides,Faunula 
Haplopappus anthylloides,Megachile semirufa
Haplopappus anthylloides,Scaeva melanostoma
Haplopappus anthylloides,Villa 
Haplopappus chrysanthemifolius,Scaeva melanostoma
Hypochaeris,Centris cineraria
Hypochaeris,Ruizantheda mutabilis
Hypochaeris,Scaeva melanostoma
Hypochaeris,Tatochila mercedis
Hypochaeris,Villa 
Hypochaeris clarionoides,Scaeva melanostoma
Hypochaeris clarionoides,Yramea 
Hypochaeris thrincioides,Caenohalictus 
Hypochaeris thrincioides,Centris nigerrima
Hypochaeris thrincioides,Megachile 
Hypochaeris thrincioides,Megachile semirufa
Hypochaeris thrincioides,Scaeva melanostoma
Junellia uniflora,Phulia nymphula
Kageneckia oblonga,Apis mellifera
Knowltonia major,Dasybasis 
Knowltonia major,Scaeva melanostoma
Lapageria rosea,Bombus 
Lapageria rosea,Bombus dahlbomii
Latace andina,Caenohalictus 
Latace andina,Scaeva melanostoma
Lathyrus subandinus,Centris cineraria
Lithraea caustica,Apis mellifera
Loasa tricolor,Anthidium chilense
Loasa tricolor,Caupolicana hirsuta
Loasa tricolor,Colletes cyanescens
Loasa tricolor,Corynura chloris
Loasa tricolor,Manuelia
Loasa tricolor,Ruizantheda 
Luma ,Apis mellifera
Luma apiculata,Allograpta pulchra
Luma apiculata,Apis mellifera
Luma apiculata,Bombus dahlbomii
Luma apiculata,Bombus ruderatus
Luma apiculata,Chauliognathus 
Luma apiculata,Corynura patagonica
Luma apiculata,Corynura rubella
Luma apiculata,Dasydema hirtella
Luma apiculata,Megalybus crassus
Luma apiculata,Mordella erythrura
Lupinus arboreus,Auca coctei
Lupinus arboreus,Bombus dahlbomii
Lupinus arboreus,Hylephila fasciolata
Luzuriaga polyphylla,Bombus dahlbomii
Luzuriaga polyphylla,Diphaglossa gayi
Luzuriaga polyphylla,Elaenia albiceps
Luzuriaga polyphylla,Turdus falklandii
Luzuriaga radicans,Bombus dahlbomii
Luzuriaga radicans,Diphaglossa gayi
Luzuriaga radicans,Elaenia albiceps
Luzuriaga radicans,Turdus falklandii
Lycium chilense,Apis mellifera
Madia sativa,Bombus dahlbomii
Madia sativa,Centris cineraria
Madia sativa,Villa 
Malesherbia linearifolia,Centris 
Malus domestica,Apis mellifera
Maytenus boaria,Apis mellifera
Medicago sativa,Apis mellifera
Medicago sativa,Megachile rotundata
Melilotus indicus,Apis mellifera
Mentha pulegium,Bombus dahlbomii
Mimulus luteus,Argyrophorus 
Mimulus luteus,Bombus dahlbomii
Mimulus luteus,Bombus terrestris
Mimulus luteus,Centris 
Mimulus luteus,Centris chilensis
Mimulus luteus,Centris nigerrima
Mimulus luteus,Corynura chloris
Mimulus luteus,Faunula 
Mimulus luteus,Hylephila
Mimulus luteus,Hypodynerus
Mimulus luteus,Megachile rotundata
Mimulus luteus,Megachile saulcyi
Mimulus luteus,Megachile semirufa
Mimulus luteus,Melissoptila
Mimulus luteus,Melissoptila
Mimulus luteus,Mesonychium 
Mimulus luteus,Tatochila
Mimulus luteus,Tatochila mercedis
Mimulus luteus,Vanessa carye
Mimulus luteus,Yramea 
Mitraria coccinea,Bombus dahlbomii
Montiopsis potentilloides,Anthidium chilense
Montiopsis potentilloides,Megachile semirufa
